10/29/2025                                                                                                Dynamic List Display                                                                                                        1
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10/29/2025 Goods Movements with Errors: Summarized Records
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Material      |Material Description                    |Plnt|SLoc|      Quantity|EUn| Counter|MvT|Created On|Status|Error date|Error Text                                                              |Time    |ID|No.|Batch     |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Y00000301     |CNY-11179 BLACK                         |1815|RG02|       79.299 |KG |       4|261|10/12/2025|      |10/27/2025|Batch Y00000301 1815 RG02 2025102502 does not exist                     |17:26:04|M7|042|2025102502|
|   Y00000294     |AB72820358 LIGHT GREY                   |1815|RG02|        0.090 |KG |       1|261|10/17/2025|      |10/27/2025|Batch Y00000294 1815 RG02 2025102502 does not exist                     |17:26:03|M7|042|2025102502|
|   Y00000293     |NB54676022 DK BLUE                      |1815|RG02|        7.160 |KG |       1|261|10/16/2025|      |10/27/2025|Batch Y00000293 1815 RG02 2025102502 does not exist                     |17:26:03|M7|042|2025102502|
|   Y00000290     |NB74620046-- DARK GRAY                  |1815|RG02|       58.059 |KG |       7|261|10/18/2025|      |10/27/2025|Batch Y00000290 1815 RG02 2025102502 does not exist                     |17:26:02|M7|042|2025102502|
|   Y00000286     |CNY00302 PIGM GRAY                      |1815|RG02|        2.320 |KG |       3|261|10/17/2025|      |10/27/2025|Batch Y00000286 1815 RG02 2025102502 does not exist                     |17:26:04|M7|042|2025102502|
|   Y00000285     |CNY12051 PIGMENT GREEN                  |1815|RG02|        0.059 |KG |       1|261|10/27/2025|      |10/27/2025|Batch Y00000285 1815 RG02 2025102502 does not exist                     |17:26:03|M7|042|2025102502|
|   S854710201051 |PF TORAYCON 1101G15UN AMARILLO          |1815|0051|       28.353 |KG |       1|261|10/29/2025|      |10/28/2025|Deficit of AL util. libre 25.969 KG : S854710201051 1815 0051           |00:45:16|M7|021|          |
|   S854300441064 |PF PBT CRASTIN CE2560 RED               |1815|0051|        9.031 |KG |       2|261|10/29/2025|      |10/29/2025|Deficit of SL Unrestricted-use 5.703 KG : S854300441064 1815 0051       |07:15:43|M7|021|          |
|   S854300331054 |PF PBT CRASTIN SK602 BLUE               |1815|0052|       73.032 |KG |       4|261|10/28/2025|      |10/28/2025|Deficit of SL Unrestricted-use 3.785 KG : S854300331054 1815 0052       |00:15:13|M7|021|          |
|   S854300330034R|PF PBT CAR SK602 NC010 GRAY             |1815|RG02|        5,510 |KG |      33|261|10/08/2025|      |10/08/2025|Deficit of SL Unrestricted-use 150 KG : S854300330034R 1815 RG02        |06:15:31|M7|021|          |
